date,tenant_id,revenue,expenses,cash_inflow,cash_outflow,outstanding_invoices,profit
2018-01-04,pulse-demo,49183.06,29275.09,19953.63,11464.13,6638.67,19907.97
2018-01-05,pulse-demo,36051.17,17704.68,38066.76,38743.79,3409.66,18346.49
2018-01-07,pulse-demo,40295.37,38817.26,44546.24,44185.40,11162.35,1478.11
2018-01-12,pulse-demo,23775.32,27318.94,29019.12,13657.55,13790.70,-3543.62
2018-01-17,pulse-demo,28489.98,30122.93,42024.87,23083.79,13221.51,-1632.95
2018-01-19,pulse-demo,30422.50,26476.93,47119.34,25319.91,19790.98,3945.57
2018-01-20,pulse-demo,36957.86,24064.25,37004.49,15687.94,12734.09,12893.61
2018-01-25,pulse-demo,40308.83,17369.79,44369.69,22971.41,14844.76,22939.04
2018-01-26,pulse-demo,43735.23,28265.02,40709.23,45060.27,17859.87,15470.21
2018-01-28,pulse-demo,48482.69,57268.55,64998.20,68802.94,32505.82,-8785.86
2018-01-29,pulse-demo,13754.33,22953.94,12145.24,15009.09,4242.47,-9199.61
2018-01-31,pulse-demo,18219.14,18032.45,13962.17,39554.12,17117.58,186.69
2018-02-02,pulse-demo,44300.49,34368.61,16248.09,14007.85,5018.26,9931.88
2018-02-05,pulse-demo,74620.62,42697.50,35665.15,66089.73,17025.24,31923.12
2018-02-06,pulse-demo,17319.64,11061.90,19705.67,40945.90,5568.01,6257.74
2018-02-09,pulse-demo,20110.67,36587.35,21683.93,12321.15,7066.41,-16476.68
2018-02-10,pulse-demo,37800.37,13135.66,43209.79,23843.17,2736.69,24664.71
2018-02-11,pulse-demo,51348.02,60927.77,47247.60,90500.51,26458.75,-9579.75
2018-02-13,pulse-demo,19063.34,14146.73,12649.82,38739.55,8438.11,4916.61
2018-02-14,pulse-demo,70473.25,69556.98,71544.63,45886.57,19570.15,916.27
2018-02-18,pulse-demo,43610.65,34935.85,14537.06,39512.68,11072.86,8674.80
2018-02-23,pulse-demo,37876.53,19646.42,22876.28,20374.95,5299.35,18230.11
2018-02-27,pulse-demo,37499.96,33931.05,24972.26,33651.83,527.65,3568.91
2018-02-28,pulse-demo,23239.43,9776.20,30693.37,38163.49,3763.62,13463.23
2018-03-02,pulse-demo,42956.60,28406.48,28079.34,26268.05,5038.76,14550.12
2018-03-08,pulse-demo,18587.37,38907.99,16862.11,14464.05,8167.95,-20320.62
2018-03-09,pulse-demo,64202.92,42685.49,63761.92,61191.29,33025.73,21517.43
2018-03-10,pulse-demo,11322.45,33212.31,38581.73,17714.61,2357.19,-21889.86
2018-03-11,pulse-demo,36498.54,18395.05,35398.40,36814.54,13731.13,18103.49
2018-03-16,pulse-demo,37449.98,33562.50,29938.47,46537.38,16853.41,3887.48
2018-03-19,pulse-demo,57991.15,36987.89,69729.11,21067.50,24515.39,21003.26
2018-03-20,pulse-demo,24819.68,14393.25,44152.95,14020.12,14373.65,10426.43
2018-03-22,pulse-demo,33313.82,15742.30,32569.91,17724.81,12820.91,17571.52
2018-03-24,pulse-demo,13740.61,33312.24,38310.52,34324.01,1326.57,-19571.63
2018-03-25,pulse-demo,36413.55,23395.23,27003.51,48895.80,3664.03,13018.32
2018-03-28,pulse-demo,40900.28,12663.72,20838.43,34171.93,19618.99,28236.56
2018-03-29,pulse-demo,15174.64,8230.06,29480.25,37457.52,14957.70,6944.58
2018-04-03,pulse-demo,38997.48,15538.71,28604.37,18730.18,5824.86,23458.77
2018-04-04,pulse-demo,28177.76,35601.61,31351.72,30319.55,7554.29,-7423.85
2018-04-09,pulse-demo,14726.80,11939.05,36004.45,32173.14,10695.31,2787.75
2018-04-10,pulse-demo,29555.03,38514.55,26965.32,32584.20,14177.04,-8959.52
2018-04-21,pulse-demo,29646.68,15898.20,37677.32,44790.73,13795.28,13748.48
2018-04-27,pulse-demo,38865.26,37472.81,44850.50,35060.44,9800.10,1392.45
2018-04-29,pulse-demo,28000.52,28566.01,35753.04,17395.22,15604.36,-565.49
2018-04-30,pulse-demo,28943.00,10725.67,29625.97,39080.69,6112.23,18217.33
2018-05-01,pulse-demo,15508.56,28867.26,21889.07,23327.45,4313.34,-13358.70
2018-05-05,pulse-demo,40889.28,14550.55,13858.64,43560.70,11149.36,26338.73
